timestamp,tier,attack_type,action,threat_score,latency_ms,ai_model
2025-10-09T15:30:32.803840,unprotected,sql_injection,allowed,0.0,2,none
2025-10-09T15:30:32.806545,unprotected,sql_injection,allowed,0.0,2,none
2025-10-09T15:30:32.809159,unprotected,sql_injection,allowed,0.0,2,none
2025-10-09T15:30:32.811977,unprotected,xss,allowed,0.0,2,none
2025-10-09T15:30:32.814742,unprotected,xss,allowed,0.0,2,none
2025-10-09T15:30:32.817449,unprotected,xss,allowed,0.0,2,none
2025-10-09T15:30:32.819954,unprotected,cmd_injection,allowed,0.0,2,none
2025-10-09T15:30:32.822576,unprotected,cmd_injection,allowed,0.0,2,none
2025-10-09T15:30:32.825169,unprotected,cmd_injection,allowed,0.0,2,none
2025-10-09T15:30:32.827938,unprotected,path_traversal,allowed,0.0,2,none
2025-10-09T15:30:32.830552,unprotected,path_traversal,allowed,0.0,2,none
2025-10-09T15:30:32.833148,unprotected,path_traversal,allowed,0.0,2,none
2025-10-09T15:30:32.836075,unprotected,ldap_injection,allowed,0.0,2,none
2025-10-09T15:30:32.838694,unprotected,ldap_injection,allowed,0.0,2,none
2025-10-09T15:30:32.841317,unprotected,ldap_injection,allowed,0.0,2,none
2025-10-09T15:30:32.844223,unprotected,business_logic,allowed,0.0,2,none
2025-10-09T15:30:32.846828,unprotected,business_logic,allowed,0.0,2,none
2025-10-09T15:30:32.849423,unprotected,business_logic,allowed,0.0,2,none
2025-10-09T15:30:32.852203,unprotected,ransomware,allowed,0.0,2,none
2025-10-09T15:30:32.854638,unprotected,ransomware,allowed,0.0,2,none
2025-10-09T15:30:32.857246,unprotected,ransomware,allowed,0.0,2,none
2025-10-09T15:30:32.860078,unprotected,normal,allowed,0.0,2,none
2025-10-09T15:30:32.862777,unprotected,normal,allowed,0.0,2,none
2025-10-09T15:30:32.865405,unprotected,normal,allowed,0.0,2,none
2025-10-09T15:30:32.868142,cloud,sql_injection,block,1.0,2.3839473724365234,threat_intel
2025-10-09T15:30:32.869921,cloud,sql_injection,block,1.0,1.5401840209960938,threat_intel
2025-10-09T15:30:32.871559,cloud,sql_injection,block,1.0,1.499176025390625,threat_intel
2025-10-09T15:30:32.873397,cloud,xss,block,1.0,1.5017986297607422,threat_intel
2025-10-09T15:30:32.874821,cloud,xss,block,1.0,1.2540817260742188,threat_intel
2025-10-09T15:30:32.876614,cloud,xss,block,1.0,1.6057491302490234,threat_intel
2025-10-09T15:30:32.878299,cloud,cmd_injection,block,1.0,1.4121532440185547,threat_intel
2025-10-09T15:30:32.879717,cloud,cmd_injection,block,1.0,1.2557506561279297,threat_intel
2025-10-09T15:30:32.881148,cloud,cmd_injection,block,1.0,1.310110092163086,threat_intel
2025-10-09T15:30:32.883019,cloud,path_traversal,block,1.0,1.5721321105957031,threat_intel
2025-10-09T15:30:32.884412,cloud,path_traversal,block,1.0,1.2631416320800781,threat_intel
2025-10-09T15:30:32.885743,cloud,path_traversal,block,1.0,1.1878013610839844,threat_intel
2025-10-09T15:30:35.413036,cloud,ldap_injection,block,0.95,2527.0259380340576,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:35.415245,cloud,ldap_injection,block,1.0,1.8639564514160156,threat_intel
2025-10-09T15:30:35.417389,cloud,ldap_injection,block,1.0,1.9059181213378906,threat_intel
2025-10-09T15:30:36.780549,cloud,business_logic,block,0.8,1362.7290725708008,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:39.452019,cloud,business_logic,block,0.8,2670.8102226257324,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:41.032394,cloud,business_logic,block,0.8,1580.089807510376,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:44.910037,cloud,ransomware,block,0.9,3877.1870136260986,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:48.257197,cloud,ransomware,block,0.9,3346.928119659424,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:50.183485,cloud,ransomware,block,0.9,1925.724983215332,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:51.741889,cloud,normal,allow,0.0,1557.654857635498,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:53.294771,cloud,normal,allow,0.0,1552.5949001312256,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:55.671620,cloud,normal,allow,0.0,2376.5313625335693,gemini/gemini-2.0-flash-exp
2025-10-09T15:30:55.685774,local,sql_injection,block,1.0,13.331890106201172,threat_intel
2025-10-09T15:30:55.698833,local,sql_injection,block,1.0,12.459754943847656,threat_intel
2025-10-09T15:30:55.707197,local,sql_injection,block,1.0,8.09788703918457,threat_intel
2025-10-09T15:30:55.717624,local,xss,block,1.0,9.968042373657227,threat_intel
2025-10-09T15:30:55.732239,local,xss,block,1.0,14.389753341674805,threat_intel
2025-10-09T15:30:55.737629,local,xss,block,1.0,5.125999450683594,threat_intel
2025-10-09T15:30:55.742834,local,cmd_injection,block,1.0,4.766941070556641,threat_intel
2025-10-09T15:30:55.750299,local,cmd_injection,block,1.0,6.908178329467773,threat_intel
2025-10-09T15:30:55.759517,local,cmd_injection,block,1.0,8.697986602783203,threat_intel
2025-10-09T15:30:55.765376,local,path_traversal,block,1.0,5.426883697509766,threat_intel
2025-10-09T15:30:55.770343,local,path_traversal,block,1.0,4.708051681518555,threat_intel
2025-10-09T15:30:55.776000,local,path_traversal,block,1.0,5.450010299682617,threat_intel
2025-10-09T15:30:55.793380,local,ldap_injection,allow,0.0,16.984939575195312,ollama/llama2
2025-10-09T15:30:55.809073,local,ldap_injection,allow,0.0,15.254020690917969,ollama/llama2
